role,company_name,job_description,resume_text,resume_keywords,is_selected,callbacks_from_company
Data Scientist,Apex Labs,"We are hiring a Data Scientist for our fintech platform. Required skills: time series, nlp, model evaluation, statistical analysis, feature engineering. Preferred tools: sql, mlflow, xgboost. Responsibilities include developed recommendation logic, designed experiments, and built predictive models.","Data Scientist with hands-on experience in telecom. Key strengths include nlp, time series, pandas, model evaluation, python and practical delivery in production systems. Experience: built predictive models, improved forecasting accuracy, and developed recommendation logic. Tools used: seaborn, xgboost, matplotlib. Achievements: reduced latency by 26%; saved 50 engineering hours per month. Additional exposure: excel.","scikit-learn, statistical analysis, time series, a/b testing, pandas, mlflow, airflow, built predictive models, developed recommendation logic",1,3
Data Scientist,Prime Analytics,"We are hiring a Data Scientist for our telecom platform. Required skills: pandas, nlp, statistical analysis, python, a/b testing. Preferred tools: airflow, sql, xgboost. Responsibilities include analyzed large datasets, designed experiments, and developed recommendation logic.","Data Scientist with hands-on experience in telecom. Key strengths include python, a/b testing, feature engineering, time series, nlp and practical delivery in production systems. Experience: developed recommendation logic, designed experiments, and improved forecasting accuracy. Tools used: jupyter, matplotlib, airflow. Achievements: improved throughput by 54%; reduced latency by 61%. Additional exposure: docker.","nlp, feature engineering, model evaluation, statistical analysis, python, matplotlib, seaborn, analyzed large datasets, developed recommendation logic",1,4
Data Scientist,Orbit Digital,"We are hiring a Data Scientist for our retail platform. Required skills: scikit-learn, feature engineering, pandas, statistical analysis, a/b testing. Preferred tools: matplotlib, airflow, xgboost. Responsibilities include improved forecasting accuracy, developed recommendation logic, and analyzed large datasets.","Data Scientist with hands-on experience in saas. Key strengths include nlp, model evaluation, statistical analysis, python, pandas and practical delivery in production systems. Experience: improved forecasting accuracy, designed experiments, and built predictive models. Tools used: xgboost, jupyter, airflow. Achievements: reduced latency by 53%; cut incident volume by 37%. Additional exposure: linux.","nlp, scikit-learn, feature engineering, time series, python, xgboost, jupyter, built predictive models, analyzed large datasets",0,0
Data Scientist,Nex Analytics,"We are hiring a Data Scientist for our fintech platform. Required skills: feature engineering, scikit-learn, time series, python, a/b testing. Preferred tools: xgboost, seaborn, matplotlib. Responsibilities include developed recommendation logic, analyzed large datasets, and built predictive models.","Data Scientist with hands-on experience in healthcare. Key strengths include statistical analysis, time series, feature engineering, nlp, a/b testing and practical delivery in production systems. Experience: built predictive models, designed experiments, and improved forecasting accuracy. Tools used: airflow, matplotlib, jupyter. Achievements: increased conversion by 39%; reduced latency by 41%. Additional exposure: spring boot.","model evaluation, scikit-learn, feature engineering, statistical analysis, python, matplotlib, airflow, improved forecasting accuracy, built predictive models",1,3
Data Scientist,Orbit Systems,"We are hiring a Data Scientist for our banking platform. Required skills: nlp, time series, model evaluation, scikit-learn, a/b testing. Preferred tools: seaborn, xgboost, airflow. Responsibilities include improved forecasting accuracy, developed recommendation logic, and built predictive models.","Data Scientist with hands-on experience in fintech. Key strengths include nlp, pandas, python, model evaluation, time series and practical delivery in production systems. Experience: analyzed large datasets, developed recommendation logic, and designed experiments. Tools used: xgboost, jupyter, matplotlib. Achievements: reduced latency by 28%; saved 67 engineering hours per month. Additional exposure: design systems.","nlp, time series, python, scikit-learn, statistical analysis, matplotlib, xgboost, analyzed large datasets, developed recommendation logic",1,1
Data Scientist,BluePeak Labs,"We are hiring a Data Scientist for our banking platform. Required skills: nlp, pandas, python, model evaluation, time series. Preferred tools: airflow, sql, seaborn. Responsibilities include improved forecasting accuracy, built predictive models, and designed experiments.","Data Scientist with hands-on experience in fintech. Key strengths include model evaluation, pandas, feature engineering, a/b testing, scikit-learn and practical delivery in production systems. Experience: developed recommendation logic, analyzed large datasets, and designed experiments. Tools used: seaborn, sql, mlflow. Achievements: cut incident volume by 27%; reduced cloud costs by 42%. Additional exposure: agile.","pandas, python, nlp, model evaluation, scikit-learn, xgboost, jupyter, analyzed large datasets, developed recommendation logic",1,4
Data Scientist,Vertex Solutions,"We are hiring a Data Scientist for our banking platform. Required skills: python, scikit-learn, nlp, time series, statistical analysis. Preferred tools: airflow, sql, xgboost. Responsibilities include improved forecasting accuracy, developed recommendation logic, and built predictive models.","Data Scientist with hands-on experience in ecommerce. Key strengths include feature engineering, a/b testing, pandas, python, nlp and practical delivery in production systems. Experience: built predictive models, developed recommendation logic, and improved forecasting accuracy. Tools used: xgboost, matplotlib, jupyter. Achievements: cut incident volume by 43%; cut incident volume by 25%. Additional exposure: kubernetes.","nlp, feature engineering, pandas, python, a/b testing, seaborn, matplotlib, built predictive models, designed experiments",1,4
Data Scientist,Vertex Labs,"We are hiring a Data Scientist for our saas platform. Required skills: model evaluation, feature engineering, pandas, time series, scikit-learn. Preferred tools: mlflow, airflow, sql. Responsibilities include analyzed large datasets, designed experiments, and developed recommendation logic.","Data Scientist with hands-on experience in saas. Key strengths include pandas, scikit-learn, python, feature engineering, statistical analysis and practical delivery in production systems. Experience: built predictive models, analyzed large datasets, and designed experiments. Tools used: seaborn, mlflow, sql. Achievements: saved 17 engineering hours per month; cut incident volume by 54%. Additional exposure: roadmapping.","model evaluation, pandas, python, nlp, feature engineering, matplotlib, jupyter, built predictive models, analyzed large datasets",0,1
Data Scientist,Prime Labs,"We are hiring a Data Scientist for our healthcare platform. Required skills: pandas, scikit-learn, a/b testing, statistical analysis, feature engineering. Preferred tools: mlflow, seaborn, airflow. Responsibilities include analyzed large datasets, designed experiments, and improved forecasting accuracy.","Data Scientist with hands-on experience in edtech. Key strengths include model evaluation, feature engineering, pandas, nlp, a/b testing and practical delivery in production systems. Experience: developed recommendation logic, built predictive models, and designed experiments. Tools used: seaborn, airflow, matplotlib. Achievements: improved model accuracy by 18%; reduced latency by 28%. Additional exposure: selenium.","a/b testing, feature engineering, statistical analysis, python, model evaluation, seaborn, sql, designed experiments, built predictive models",1,2
Data Scientist,Orbit Systems,"We are hiring a Data Scientist for our telecom platform. Required skills: model evaluation, python, scikit-learn, pandas, time series. Preferred tools: seaborn, jupyter, airflow. Responsibilities include developed recommendation logic, improved forecasting accuracy, and designed experiments.","Data Scientist with hands-on experience in retail. Key strengths include time series, statistical analysis, feature engineering, python, model evaluation and practical delivery in production systems. Experience: developed recommendation logic, built predictive models, and analyzed large datasets. Tools used: jupyter, seaborn, mlflow. Achievements: reduced latency by 39%; reduced latency by 14%. Additional exposure: agile.","scikit-learn, nlp, statistical analysis, pandas, model evaluation, sql, jupyter, analyzed large datasets, designed experiments",0,0
